base_name,estimator,run_depth,target,method,logloss,auc,ap,brier,params_json
3clusters_3outliers,logreg,4,t15,Logistic_Dirty,0.6620912351325794,0.6449122807017544,0.6443597409955139,0.2342571404611909,"{""lam1"": 0.09827170701014291, ""lam2"": 0.4207175685337967, ""max_iter"": 778, ""tol"": 2.1261799434385863e-06, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t15,Logistic_L21,0.662651705031276,0.6454135338345864,0.6457479726491422,0.2344548168348555,"{""lam"": 0.09367050037823009, ""max_iter"": 575, ""tol"": 0.0008936368338107524, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t15,Logistic_rMTFL,0.6220774592867976,0.728421052631579,0.7260219181194955,0.2156121591553858,"{""tau"": 0.19474256212060764, ""lam"": 0.17265790301524042, ""max_iter"": 1425, ""tol"": 2.2698092676909104e-05, ""tau_init"": 2.5121598199824273, ""cont_factor"": 0.6846383033264856, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t15,Single_Task,0.6705208555190332,0.6309774436090225,0.633325076252432,0.2380018692699938,
3clusters_3outliers,logreg,4,t16,ATL_selector,0.5189872894775917,0.8327819548872181,0.8089202555861361,0.1696658009416557,
3clusters_3outliers,logreg,4,t16,Logistic_Dirty,0.5368626997622772,0.8160401002506267,0.8022295263601005,0.1778237233997905,"{""lam1"": 0.06675150013157624, ""lam2"": 0.028288716692865274, ""max_iter"": 763, ""tol"": 3.1067892207857466e-05, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t16,Logistic_L21,0.535796804373064,0.8159398496240602,0.8021128293874042,0.1769432693349102,"{""lam"": 0.06006899563945431, ""max_iter"": 461, ""tol"": 4.0139594740683295e-06, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t16,Logistic_rMTFL,0.534696381010967,0.8196491228070175,0.7997996992571204,0.1751160478331878,"{""tau"": 0.11872322431632915, ""lam"": 0.13375624887570417, ""max_iter"": 1563, ""tol"": 9.095050190478233e-05, ""tau_init"": 1.7594166321286295, ""cont_factor"": 0.7031994323834431, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t16,Single_Task,0.5369288423114871,0.8112280701754385,0.8033800934402351,0.1780969860771602,
3clusters_3outliers,logreg,4,t17,ATL_selector,0.6781342213799434,0.6208521303258145,0.6030236828424277,0.2424098173306651,
